epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl
1,17.38783788486077,11.624386,11.526937,18.082481217452198,12.25002,11.664951
2,14.383982311766935,8.571091,11.625816,17.8286422390413,11.864969,11.92733
3,14.007342814569757,8.154524,11.7056265,17.99170674329917,11.854188,12.275021
4,13.799615094135412,7.919247,11.760743,17.83768543719793,12.018003,11.639381
5,13.649870860282565,7.7578855,11.783944,17.788477780357486,11.902492,11.771997
6,13.538928347022981,7.6350555,11.807729,17.80581262453231,11.879748,11.852053
7,13.458156936271216,7.5404024,11.835476,17.881489706559698,11.900279,11.9624605
8,13.384128833065901,7.461086,11.846125,18.035159913253967,12.017478,12.035387
9,13.327598702598417,7.3941617,11.866848,17.82680798063242,11.909931,11.833776
10,13.2753867450807,7.336711,11.87737,17.975503352606772,12.080758,11.7894
11,13.230067537224496,7.287555,11.884991,17.881199057912013,11.836148,12.090109
12,13.197120742998418,7.2497525,11.894758,18.006837847563077,12.055729,11.90221
13,13.163941475275873,7.209516,11.908871,18.03331178630326,12.145598,11.775416
14,13.132398320480965,7.1755757,11.913662,17.99370900684335,11.96005,12.067325
15,13.102382856671529,7.1447363,11.915342,17.948387186260334,12.048387,11.800007
