epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl
1,17.027244684910833,11.292961,11.4686,18.00111299696638,12.20386,11.594496
2,14.340767845143855,8.529891,11.6217575,17.766967370116507,12.024317,11.485308
3,13.951304664987314,8.120342,11.661925,17.655663016738202,11.827915,11.655462
4,13.73325927958015,7.8897195,11.687077,17.803490915945403,12.083211,11.440562
5,13.58225305219152,7.7286773,11.707161,17.731695374795564,11.860988,11.7414055
6,13.47253829621575,7.6073976,11.730281,17.768846806131684,11.996268,11.545158
7,13.391722488637065,7.513158,11.757156,17.814094421420197,11.893881,11.840461
8,13.317121548225877,7.4333944,11.767478,17.878395164148632,12.009701,11.737384
9,13.257165023188739,7.365992,11.782311,17.762745166186814,11.841066,11.843395
10,13.203924222206632,7.3072696,11.793273,17.828534174802407,11.8928585,11.871356
11,13.15820181841039,7.2595906,11.797243,17.844612154607756,11.897268,11.894688
12,13.119414794904985,7.2191114,11.800543,17.878526915522183,11.9948435,11.767391
13,13.090071817578432,7.18388,11.812482,17.859377390180185,11.936917,11.844938
