epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl
1,9.997595204761224,7.3678,26.297945,10.721692308619534,8.0490055,26.726913
2,7.5405968096005935,4.955895,25.84702,10.52493641279225,7.8534527,26.714788
3,7.239978571480209,4.6652236,25.747568,10.507528470634714,7.7945523,27.129736
4,7.081126676331183,4.511149,25.699743,10.492206384312246,7.845451,26.467722
5,6.97388895876343,4.4101973,25.636953,10.580390135658291,7.9486547,26.317436
6,6.896292767824075,4.337725,25.585798,10.530576496943109,7.8842106,26.463682
7,6.8351003923497835,4.280315,25.547852,10.558634641602541,7.945235,26.134048
8,6.787450940272725,4.2362366,25.512272,10.719751176130636,8.078321,26.414358
9,6.745646851534789,4.1989264,25.46721,10.693411546402674,8.053558,26.398527
10,6.711948121159522,4.1683517,25.43598,10.608425815259261,7.9615316,26.46899
11,6.682178235890976,4.1412015,25.409822,10.599436434509634,7.9621596,26.372784
12,6.654538720148722,4.1163783,25.38151,10.70335177008975,8.085146,26.182047
13,6.631713746564454,4.096063,25.356564,10.661015197843923,8.08333,25.776808
14,6.610469280044762,4.0762672,25.342104,10.621306809845217,7.9979634,26.2334
