epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl
1,47.05153821599152,41.180508,11.742081,32.29500777774387,24.79546,14.999093
2,26.6660441603484,19.504076,14.323948,27.874066280788846,20.923985,13.900162
3,23.595049742945918,16.629164,13.931792,25.81929290983412,18.983677,13.671232
4,22.090409896285447,15.271541,13.63773,24.68486172358195,17.505627,14.358478
5,21.15843483818902,14.421623,13.473635,23.948506933848062,17.215477,13.466064
6,20.4992057856807,13.852265,13.293881,23.683623055352104,17.236788,12.893666
7,19.98702267682111,13.408545,13.1569605,23.342949259016248,16.484415,13.717077
8,19.648040405556007,13.096331,13.103427,23.11926175647312,16.649994,12.938531
9,19.399718196303755,12.879913,13.039606,22.940697074466282,16.442636,12.996118
10,19.139068688993103,12.641546,12.995039,22.669036445617675,16.425716,12.486644
11,18.97929941318653,12.495336,12.967925,22.79539473003811,16.411337,12.768112
12,18.835021370781792,12.355978,12.958069,22.338645068274605,15.707016,13.2632475
13,18.681117062745273,12.195027,12.972166,22.50976823594835,15.88872,13.242088
14,18.6079858412566,12.117335,12.981297,22.14411884519789,15.888227,12.511786
15,18.448549646448207,11.967196,12.962695,22.098632358974882,15.732723,12.731803
16,18.414226818791143,11.921001,12.986445,22.130179714626735,15.673258,12.913837
17,18.274497435534443,11.800818,12.94737,22.02470218870375,15.589868,12.869661
18,18.205660033755834,11.718373,12.974573,22.205390152401396,15.705765,12.999252
19,18.167079974280462,11.685147,12.963873,21.929938112894693,15.3594055,13.141068
20,18.083004873770253,11.598479,12.969063,21.824222102695042,15.624261,12.399925
21,18.02706999178286,11.533558,12.987033,21.892338532341853,15.660448,12.463789
22,17.939510812406187,11.470026,12.93898,22.059648056030273,15.376465,13.366353
23,17.862714604271783,11.395015,12.935398,22.09642469829983,15.752521,12.68781
24,17.83719144397312,11.3565035,12.961388,21.650979489220514,15.161034,12.979898
25,17.790069946006493,11.308363,12.9634,21.816967305077448,15.155001,13.323917
26,17.75235946867201,11.276126,12.952464,21.809254703521727,15.50918,12.600146
27,17.66377631717258,11.20278,12.921998,21.803260368771024,15.5203705,12.565787
28,17.659130685594345,11.1705675,12.977127,21.90277403725518,15.245349,13.314856
29,17.612491955227323,11.153505,12.917989,21.46737112681071,15.1280575,12.67863
30,17.55153055968108,11.069379,12.964304,21.793230084313286,15.19696,13.19255
31,17.521197203883418,11.052134,12.938129,21.604227583143444,15.077652,13.053153
32,17.461366923296893,10.979224,12.964295,21.675943881140814,15.281662,12.788562
33,17.43701936368589,10.95386,12.9663315,21.697750051286487,15.4776325,12.44024
34,17.410866513428864,10.924618,12.972475,21.54647268931071,14.771959,13.549031
35,17.39471603040342,10.879364,13.030712,21.325453143649632,15.064446,12.522021
36,17.329424502761277,10.832947,12.992951,21.637551017337376,15.338677,12.597745
37,17.3005876604716,10.79157,13.018034,21.486555230882434,14.79913,13.374851
38,17.277351516441062,10.759602,13.035497,21.449526403215195,14.88946,13.1201315
39,17.27506060494317,10.742068,13.065983,21.32835891511705,14.860759,12.935191
40,17.221890450936776,10.705233,13.033315,21.716796927981907,15.256565,12.92048
41,17.1783191341824,10.672075,13.0124855,21.359299218919542,14.748395,13.221799
42,17.152708766372115,10.64231,13.020806,21.454974433051216,15.055199,12.799541
43,17.15612257145069,10.622327,13.0675955,21.49874621073405,14.8350115,13.327461
44,17.133206612622295,10.620137,13.026153,21.331358689202204,14.790244,13.082226
45,17.112657404299135,10.586235,13.052849,21.21798234939575,14.848949,12.738076
46,17.05939623868024,10.514494,13.08981,21.37772063997057,14.994157,12.767146
47,17.020489013106733,10.500157,13.040669,21.358721756405302,14.792732,13.131978
48,17.023716259002686,10.491755,13.063919,21.403346174028183,15.00648,12.793735
49,16.981849296004683,10.427198,13.10931,21.227063200208875,14.840587,12.772963
50,16.99105899669506,10.445885,13.0903425,21.33680496427748,14.681395,13.3108225
51,16.973021642896864,10.405242,13.135555,21.2902915763855,14.780225,13.020133
52,16.91521915011936,10.373816,13.082815,21.16921232647366,14.804848,12.728743
53,16.91863305480392,10.361368,13.114521,21.515160274505615,15.0764885,12.877354
54,16.899544183236582,10.350979,13.097139,21.289063080681697,14.390844,13.796435
55,16.865137927443893,10.303215,13.123841,21.104906465742324,14.555756,13.098307
56,16.887816498367876,10.326862,13.121928,21.19355716281467,14.696677,12.993762
57,16.844899891040942,10.280004,13.129794,21.327237355973985,14.550138,13.554196
58,16.836934621598985,10.251646,13.17058,21.26673398123847,14.732918,13.067646
59,16.78672938735397,10.233721,13.106017,21.318383519914416,14.568433,13.499906
60,16.788109077171043,10.215327,13.145563,21.30339943991767,14.830089,12.946606
61,16.743955180556686,10.178852,13.130199,21.141751651763915,14.571615,13.140286
62,16.750981846562137,10.183663,13.134637,21.32719138039483,14.670927,13.3125305
63,16.707345371952762,10.156988,13.100725,21.201129184299045,14.46792,13.466422
64,16.72421511826692,10.163264,13.121902,21.347624880472818,14.863998,12.967243
65,16.704742339098896,10.120012,13.16946,21.2259095954895,14.670592,13.110628
